,,"Name (click to view profile)","Profile ID",Date,Likes,Stars,Comment,Name,"Profile ID",Date,Likes,Stars,Comment,URL,"Profile Image"
1,,"Johnny Samara",1017631619,"2024-02-26 15:39:45",1,,"You're giving me a headache!",https://www.exportcomments.com/done/08159346-25a0-48f7-9185-fb2735439b90/preview/1409405042995847,https://scontent-sof1-2.xx.fbcdn.net/v/t1.18169-1/46076_1520358921743_6265743_n.jpg?stp=c11.0.64.64a_cp0_dst-jpg_p64x64&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=Uv9_as8bOKYAb7TpHyC&_nc_ht=scontent-sof1-2.xx&oh=00_AfDXt-Bwz53mW4fMJM480EIv6pvd6FQoHWKLR6lBNrR5lQ&oe=6655B262
2,,"LD Little",100007838888818,"2024-02-27 19:35:16",4,,"The universe is a black hole where time runs in reverse.[PHOTO] https://external-sof1-2.xx.fbcdn.net/emg1/v/t13/14844873566344349636?url=https%3A%2F%2Fmedia.tenor.co%2FuK5mN7DhKk4AAAAC%2Fabyss-black-hole.gif%3Ft%3DAAYSYiOIrc0A3j-JSAaSWA%26c%3DVjFfZmFjZWJvb2s&fb_obo=1&utld=tenor.co&stp=dst-jpg_flffffff_q75_s792x792&ccb=13-1&oh=06_Q3990HTkweKz6tKl3ZnMvdUYsWnsKX5vbQxo1wil8wtgsUg&oe=663035B6&_nc_sid=867500",https://www.exportcomments.com/done/08159346-25a0-48f7-9185-fb2735439b90/preview/1177701533639542,https://scontent-sof1-1.xx.fbcdn.net/v/t1.18169-1/19247926_2098663830404893_4221080243890964809_n.jpg?stp=cp0_dst-jpg_p64x64&_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_ohc=mjbRStOphuYAb5a7AWz&_nc_ht=scontent-sof1-1.xx&oh=00_AfA1QD4KXVHUnb5SHaRFufNWuCuHztklwYRqLzBC7fgg9g&oe=6655BF56
3,,"Patrick Bassett",100006762273335,"2024-03-02 12:49:37",5,,"Dark Energy and Dark Matter means they have no idea what is happening  =  Michio Kaku says Cosmology: is wrong by a Factor of 10 to the Power of 120",https://www.exportcomments.com/done/08159346-25a0-48f7-9185-fb2735439b90/preview/915567493402068,https://scontent-sof1-2.xx.fbcdn.net/v/t39.30808-1/275623664_3201089956793049_2666594952504891088_n.jpg?stp=c0.10.64.64a_cp0_dst-jpg_p64x64&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=uK3Zh86nKfkAb49V3gy&_nc_ht=scontent-sof1-2.xx&oh=00_AfBYiOcvEJhBvX1tIujMLNsnOg5uyvoe7ED8UBsy3TOkbA&oe=66342033
4,,"Patrick Kyle",100000616782184,"2024-03-02 14:20:28",0,,"gravitational forces",https://www.exportcomments.com/done/08159346-25a0-48f7-9185-fb2735439b90/preview/416438727589264,https://scontent-sof1-2.xx.fbcdn.net/v/t1.18169-1/11990619_1021138587916691_4580797984236700999_n.jpg?stp=c0.3.64.64a_cp0_dst-jpg_p64x64&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=8mLslg6JFdEAb60_hsS&_nc_ht=scontent-sof1-2.xx&oh=00_AfA7RSIV8P_ECR4auqntcExQwLYqxkKTvA1i0iWG-pEsDw&oe=6655C53E
5,,"Patrick Kyle",100000616782184,"2024-03-02 14:22:28",0,,oscillating,https://www.exportcomments.com/done/08159346-25a0-48f7-9185-fb2735439b90/preview/725986092853169,https://scontent-sof1-2.xx.fbcdn.net/v/t1.18169-1/11990619_1021138587916691_4580797984236700999_n.jpg?stp=c0.3.64.64a_cp0_dst-jpg_p64x64&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=8mLslg6JFdEAb60_hsS&_nc_ht=scontent-sof1-2.xx&oh=00_AfA7RSIV8P_ECR4auqntcExQwLYqxkKTvA1i0iWG-pEsDw&oe=6655C53E
6,,"Joe Veneroso",100028214705235,"2024-03-02 17:47:29",3,,"STOLEN CONTENT by this FAKE ACCOUNT!The real Astro Alexandra has 153k followers.",https://www.exportcomments.com/done/08159346-25a0-48f7-9185-fb2735439b90/preview/432786535754284,https://scontent-sof1-2.xx.fbcdn.net/v/t39.30808-1/293544539_1085783685705445_6528949585746415082_n.jpg?stp=cp0_dst-jpg_p64x64&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=enpUhkshmM8Q7kNvgGIIHJ7&_nc_ht=scontent-sof1-2.xx&oh=00_AfD4miQ3ByG1xfcx5zLEgd-HFzLjEWMuEBdqeT4BiM5Srw&oe=66341FB9
7,,"Max Vandekaap",100071151773538,"2024-03-03 03:57:51",1,,"You’re not taking into account the effects of the gravity of galaxies beyond the visible universe",https://www.exportcomments.com/done/08159346-25a0-48f7-9185-fb2735439b90/preview/1091748638601100,https://scontent-sof1-2.xx.fbcdn.net/v/t39.30808-1/402124738_383429750705414_2156919109509118028_n.jpg?stp=cp0_dst-jpg_p64x64&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=pka40LyH5K0Ab49-l9r&_nc_ht=scontent-sof1-2.xx&oh=00_AfBnfXNHHWiva2a26oY1zV_CGhk3UVQrzhuIXbn1f0EQdQ&oe=66341D3D
8,,"Van Neely",100006290402449,"2024-03-03 17:04:15",0,,"A NEW MIND SET JOINS WITH MAKING PROGRESS AND PAIN IN THE ASS PEOPLE!LIKE NASA= NOT A SPACE AGENCY!OR NOTHING ACTUALLY SEEMS ACCURATE!NASA is a government backed money making/ laundering business!This includes China, India, Russia and any other fake spacers!If you believe NASA's CGI fantasy land bullshit then you have to believe in their big bang theory/religion!You know! That hair brained theory where a single molecule exploded and created the entire universe and the complex organisms that exist like you and me! Lmao!The flight patterns of rockets arch not to gain speed to get out of the atmosphere!They arch because they can't get out of the dome/FIRMAMENT! And they crash in an ocean far enough away that the average person doesn't see it!Blue ballers and pancake pushers have never actually/physically seen or experienced anything NASA shows them!But they are so convinced in what they believe...They judge and dog any other possibility! Strap your ass to a rocket! Go find out for yourself or STFU!Everyone knows that space was made in a Hollywood basement with the help of Stanley Kubrick!If they don't... They live in a CGI fantasy land!Space x recently found out the hard way about what NASA has been covering up since it was established!And sent up a rocket up that crashed/exploded/blew apart when it hit the firmament! Go figure! Lmao!NASA=NUTCASE ASININE SHITTY ACTORS!Just sayin!You've been trolled!LMAO again!",https://www.exportcomments.com/done/08159346-25a0-48f7-9185-fb2735439b90/preview/745603490688537,https://scontent-sof1-2.xx.fbcdn.net/v/t39.30808-1/370438155_3647202782166033_2319189215049780446_n.jpg?stp=cp0_dst-jpg_p64x64&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=J4r_q4926g8Ab4fdaIs&_nc_ht=scontent-sof1-2.xx&oh=00_AfDkOtB7kVy4sHeUI2S6KZV-xraY-X_AzkTk1Bj2MB6jwg&oe=66341415
9,,"Pete Melov",100063830802478,"2024-03-04 10:30:46",0,,"Only if you lie..",https://www.exportcomments.com/done/08159346-25a0-48f7-9185-fb2735439b90/preview/1912421465844550,https://scontent-sof1-1.xx.fbcdn.net/v/t39.30808-1/337837284_768579528016681_2603228567266837271_n.jpg?stp=cp0_dst-jpg_p64x64&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=N-BO9lX5fs8Ab6kHJOr&_nc_oc=AdhrZgY4cbmHuUc4NQ3QUZ72A7N8Yt8YgJdEBNjEIWmD9OqS5vc1P5Sb0oc0QWyKJdE&_nc_ht=scontent-sof1-1.xx&oh=00_AfAO07kM6rbiluWAZZOGthaKFCnnjppy2cCaldBxUiUgbw&oe=66341809
10,,"Scott Lander",100000458583778,"2024-03-04 17:09:48",0,,"We need to have proof of dark matter/energy.  Otherwise its just like the 19th century theory of space being comprised of The Ether.  Dark matter and energy could merely mean there are forces at work that we don't understand.",https://www.exportcomments.com/done/08159346-25a0-48f7-9185-fb2735439b90/preview/295435186657349,https://scontent-sof1-1.xx.fbcdn.net/v/t39.30808-1/273883228_7379717125386834_8607395431724315717_n.jpg?stp=c0.2.64.64a_cp0_dst-jpg_p64x64&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=bbk-fdtJrNwQ7kNvgFgu3n9&_nc_ht=scontent-sof1-1.xx&oh=00_AfB7HQRUtzM_K6oVNlg1AZFLsyDd-ErjfRgm8sDvlXadYw&oe=66341B61
